# isotope   energy(keV)    
Bi214	    609
Bi214	    1120
Bi214	    1764
Pb214	    295 
Pb214	    352
Ti208	    2614 	                 
K40         1460.8
PairA	    511  
LaBr        1436
LaBr        32
44Cl	    891 
44Cl	    1000       
44Cl	    2789
44Ar	    853.77
44Ar	    965.32
44Ar	    1158.11
44Ar	    1588.1
44Ar	    1817.7
44Ar	    2010.18
44Ar	    2375.6
44Ar	    2747.0
44Ar	    2796.0
44Ar	    3338.4
44Ar	    3649.8
44Ar	    4195.0
44Ar	    4808.0	    
44Ar        352.13
44Ar        411.8
43Ar        352.13 
43Ar        619.56 
43Ar        679.24  
43Ar        726.58  
43Ar        761.81 
43Ar        903
43Ar        1008.82 
43Ar        1031.84  
43Ar        1381.79  
43Ar        1441.69 
43Ar        1628.1
43Ar        1631.8
43Ar        1758.2 
43Ar        1793.5
43Ar        1816.5
43Ar        1933.3
43Ar        1944.96
43Ar        2036.4
43Ar        2108.0
43Ar        2215.4
43Ar        2344
43Ar        2344.0
43Ar        2390.5 
43Ar        2430.0
43Ar        2452.7
43Ar        2805.43  
43Ar        2865.7 
43Ar        3109.3
43Ar        3395.8
